tag_id,server_progid,tag_name,old_data_type
AY1101,Rockwel_PLC_001,AY1101,double
AY1102,Rockwel_PLC_001,AY1102,double
CV1101,Rockwel_PLC_001,CV1101,double
CV1101B,Rockwel_PLC_001,CV1101B,double
Enrich_SILO_MT,Rockwel_PLC_001,Enrich_SILO_MT,double
Fresh_SILO_MT,Rockwel_PLC_001,Fresh_SILO_MT,double
FY1100,Rockwel_PLC_001,FY1100,double
FY1101,Rockwel_PLC_001,FY1101,double
FY3101,Rockwel_PLC_001,FY3101,double
HZ1101A,Rockwel_PLC_001,HZ1101A,double
HZ1101B,Rockwel_PLC_001,HZ1101B,double
HZ1102A,Rockwel_PLC_001,HZ1102A,double
HZ1102B,Rockwel_PLC_001,HZ1102B,double
HZ1103A,Rockwel_PLC_001,HZ1103A,double
HZ1103B,Rockwel_PLC_001,HZ1103B,double
HZ1104A,Rockwel_PLC_001,HZ1104A,double
HZ1104B,Rockwel_PLC_001,HZ1104B,double
IYAN1101,Rockwel_PLC_001,IYAN1101,double
IYAN1102,Rockwel_PLC_001,IYAN1102,double
IYAN1103,Rockwel_PLC_001,IYAN1103,double
IYAN1104,Rockwel_PLC_001,IYAN1104,double
IYFBC1101,Rockwel_PLC_001,IYFBC1101,double
IYFBC1102,Rockwel_PLC_001,IYFBC1102,double
IYFBR1101,Rockwel_PLC_001,IYFBR1101,double
IYFBR1102,Rockwel_PLC_001,IYFBR1102,double
LY1101,Rockwel_PLC_001,LY1101,double
LY1102,Rockwel_PLC_001,LY1102,double
LY3101,Rockwel_PLC_001,LY3101,double
MV1101A,Rockwel_PLC_001,MV1101A,double
MV1102A,Rockwel_PLC_001,MV1102A,double
PDY1101,Rockwel_PLC_001,PDY1101,double
PDY1102,Rockwel_PLC_001,PDY1102,double
PDY1104,Rockwel_PLC_001,PDY1104,double
PDY1105,Rockwel_PLC_001,PDY1105,double
PDY1106A,Rockwel_PLC_001,PDY1106A,double
PDY1107A,Rockwel_PLC_001,PDY1107A,double
PDY1108,Rockwel_PLC_001,PDY1108,double
PDY1109,Rockwel_PLC_001,PDY1109,double
PDY1110,Rockwel_PLC_001,PDY1110,double
PY1101A,Rockwel_PLC_001,PY1101A,double
PY1101B,Rockwel_PLC_001,PY1101B,double
PY1102A,Rockwel_PLC_001,PY1102A,double
PY1102B,Rockwel_PLC_001,PY1102B,double
PY1102C,Rockwel_PLC_001,PY1102C,double
PY1102D,Rockwel_PLC_001,PY1102D,double
PY1103A,Rockwel_PLC_001,PY1103A,double
PY1103B,Rockwel_PLC_001,PY1103B,double
PY1104,Rockwel_PLC_001,PY1104,double
PY1105A,Rockwel_PLC_001,PY1105A,double
PY1105B,Rockwel_PLC_001,PY1105B,double
PY1105C,Rockwel_PLC_001,PY1105C,double
PY1105D,Rockwel_PLC_001,PY1105D,double
PY1105E,Rockwel_PLC_001,PY1105E,double
PY1105F,Rockwel_PLC_001,PY1105F,double
PY1105G,Rockwel_PLC_001,PY1105G,double
PY1105H,Rockwel_PLC_001,PY1105H,double
PY1105I,Rockwel_PLC_001,PY1105I,double
PY1105J,Rockwel_PLC_001,PY1105J,double
PY3101,Rockwel_PLC_001,PY3101,double
TY1101A,Rockwel_PLC_001,TY1101A,double
TY1101B,Rockwel_PLC_001,TY1101B,double
TY1101C,Rockwel_PLC_001,TY1101C,double
TY1101D,Rockwel_PLC_001,TY1101D,double
TY1101E,Rockwel_PLC_001,TY1101E,double
TY1101F,Rockwel_PLC_001,TY1101F,double
TY1101G,Rockwel_PLC_001,TY1101G,double
TY1101H,Rockwel_PLC_001,TY1101H,double
TY1102A,Rockwel_PLC_001,TY1102A,double
TY1102B,Rockwel_PLC_001,TY1102B,double
TY1102C,Rockwel_PLC_001,TY1102C,double
TY1102D,Rockwel_PLC_001,TY1102D,double
TY1102E,Rockwel_PLC_001,TY1102E,double
TY1102F,Rockwel_PLC_001,TY1102F,integer
TY1102G,Rockwel_PLC_001,TY1102G,double
TY1102H,Rockwel_PLC_001,TY1102H,double
TY1103A,Rockwel_PLC_001,TY1103A,double
TY1103B,Rockwel_PLC_001,TY1103B,double
TY1103C,Rockwel_PLC_001,TY1103C,double
TY1103D,Rockwel_PLC_001,TY1103D,double
TY1103E,Rockwel_PLC_001,TY1103E,double
TY1103F,Rockwel_PLC_001,TY1103F,double
TY1103G,Rockwel_PLC_001,TY1103G,double
TY1103H,Rockwel_PLC_001,TY1103H,double
TY1104A,Rockwel_PLC_001,TY1104A,double
TY1104B,Rockwel_PLC_001,TY1104B,double
TY1104C,Rockwel_PLC_001,TY1104C,double
TY1104D,Rockwel_PLC_001,TY1104D,double
TY1104E,Rockwel_PLC_001,TY1104E,double
TY1104F,Rockwel_PLC_001,TY1104F,double
TY1104G,Rockwel_PLC_001,TY1104G,double
TY1104H,Rockwel_PLC_001,TY1104H,double
TY1105A,Rockwel_PLC_001,TY1105A,double
TY1105B,Rockwel_PLC_001,TY1105B,double
TY3101,Rockwel_PLC_001,TY3101,double
VT1101B,Rockwel_PLC_001,VT1101B,double
VY1101A,Rockwel_PLC_001,VY1101A,double
VYAN1101A,Rockwel_PLC_001,VYAN1101A,double
VYAN1101B,Rockwel_PLC_001,VYAN1101B,double
VYAN1101C,Rockwel_PLC_001,VYAN1101C,double
VYAN1101D,Rockwel_PLC_001,VYAN1101D,double
VYAN1101E,Rockwel_PLC_001,VYAN1101E,double
VYAN1101F,Rockwel_PLC_001,VYAN1101F,double
VYAN1101G,Rockwel_PLC_001,VYAN1101G,double
VYAN1101H,Rockwel_PLC_001,VYAN1101H,double
VYAN1102A,Rockwel_PLC_001,VYAN1102A,double
VYAN1102B,Rockwel_PLC_001,VYAN1102B,double
VYAN1102C,Rockwel_PLC_001,VYAN1102C,double
VYAN1102D,Rockwel_PLC_001,VYAN1102D,double
VYAN1102E,Rockwel_PLC_001,VYAN1102E,double
VYAN1102F,Rockwel_PLC_001,VYAN1102F,double
VYAN1102G,Rockwel_PLC_001,VYAN1102G,double
VYAN1102H,Rockwel_PLC_001,VYAN1102H,double
VYAN1103A,Rockwel_PLC_001,VYAN1103A,double
VYAN1103B,Rockwel_PLC_001,VYAN1103B,double
VYAN1103C,Rockwel_PLC_001,VYAN1103C,double
VYAN1103D,Rockwel_PLC_001,VYAN1103D,double
VYAN1103E,Rockwel_PLC_001,VYAN1103E,double
VYAN1103F,Rockwel_PLC_001,VYAN1103F,double
VYAN1103G,Rockwel_PLC_001,VYAN1103G,double
VYAN1103H,Rockwel_PLC_001,VYAN1103H,double
VYAN1104A,Rockwel_PLC_001,VYAN1104A,double
VYAN1104B,Rockwel_PLC_001,VYAN1104B,double
VYAN1104C,Rockwel_PLC_001,VYAN1104C,double
VYAN1104D,Rockwel_PLC_001,VYAN1104D,double
VYAN1104E,Rockwel_PLC_001,VYAN1104E,double
VYAN1104F,Rockwel_PLC_001,VYAN1104F,double
VYAN1104G,Rockwel_PLC_001,VYAN1104G,double
VYAN1104H,Rockwel_PLC_001,VYAN1104H,double
CV1101B_AUTO,Rockwel_PLC_002,CV1101B_AUTO,double
